,lat,lon,mask
0,-90.0,0.0,False
1,-90.0,1.25,False
2,-90.0,2.5,False
3,-90.0,3.75,False
4,-90.0,5.0,False
5,-90.0,6.25,False
6,-90.0,7.5,False
7,-90.0,8.75,False
8,-90.0,10.0,False
9,-90.0,11.25,False
10,-90.0,12.5,False
11,-90.0,13.75,False
12,-90.0,15.0,False
13,-90.0,16.25,False
14,-90.0,17.5,False
15,-90.0,18.75,False
16,-90.0,20.0,False
17,-90.0,21.25,False
18,-90.0,22.5,False
19,-90.0,23.75,False
20,-90.0,25.0,False
21,-90.0,26.25,False
22,-90.0,27.5,False
23,-90.0,28.75,False
24,-90.0,30.0,False
25,-90.0,31.25,False
26,-90.0,32.5,False
27,-90.0,33.75,False
28,-90.0,35.0,False
29,-90.0,36.25,False
30,-90.0,37.5,False
31,-90.0,38.75,False
32,-90.0,40.0,False
33,-90.0,41.25,False
34,-90.0,42.5,False
35,-90.0,43.75,False
36,-90.0,45.0,False
37,-90.0,46.25,False
38,-90.0,47.5,False
39,-90.0,48.75,False
40,-90.0,50.0,False
41,-90.0,51.25,False
42,-90.0,52.5,False
43,-90.0,53.75,False
44,-90.0,55.0,False
45,-90.0,56.25,False
46,-90.0,57.5,False
47,-90.0,58.75,False
48,-90.0,60.0,False
49,-90.0,61.25,False
50,-90.0,62.5,False
51,-90.0,63.75,False
52,-90.0,65.0,False
53,-90.0,66.25,False
54,-90.0,67.5,False
55,-90.0,68.75,False
56,-90.0,70.0,False
57,-90.0,71.25,False
58,-90.0,72.5,False
59,-90.0,73.75,False
60,-90.0,75.0,False
61,-90.0,76.25,False
62,-90.0,77.5,False
63,-90.0,78.75,False
64,-90.0,80.0,False
65,-90.0,81.25,False
66,-90.0,82.5,False
67,-90.0,83.75,False
68,-90.0,85.0,False
69,-90.0,86.25,False
70,-90.0,87.5,False
71,-90.0,88.75,False
72,-90.0,90.0,False
73,-90.0,91.25,False
74,-90.0,92.5,False
75,-90.0,93.75,False
76,-90.0,95.0,False
77,-90.0,96.25,False
78,-90.0,97.5,False
79,-90.0,98.75,False
80,-90.0,100.0,False
81,-90.0,101.25,False
82,-90.0,102.5,False
83,-90.0,103.75,False
84,-90.0,105.0,False
85,-90.0,106.25,False
86,-90.0,107.5,False
87,-90.0,108.75,False
88,-90.0,110.0,False
89,-90.0,111.25,False
90,-90.0,112.5,False
91,-90.0,113.75,False
92,-90.0,115.0,False
93,-90.0,116.25,False
94,-90.0,117.5,False
95,-90.0,118.75,False
96,-90.0,120.0,False
97,-90.0,121.25,False
98,-90.0,122.5,False
99,-90.0,123.75,False
100,-90.0,125.0,False
101,-90.0,126.25,False
102,-90.0,127.5,False
103,-90.0,128.75,False
104,-90.0,130.0,False
105,-90.0,131.25,False
106,-90.0,132.5,False
107,-90.0,133.75,False
108,-90.0,135.0,False
109,-90.0,136.25,False
110,-90.0,137.5,False
111,-90.0,138.75,False
112,-90.0,140.0,False
113,-90.0,141.25,False
114,-90.0,142.5,False
115,-90.0,143.75,False
116,-90.0,145.0,False
117,-90.0,146.25,False
118,-90.0,147.5,False
119,-90.0,148.75,False
120,-90.0,150.0,False
121,-90.0,151.25,False
122,-90.0,152.5,False
123,-90.0,153.75,False
124,-90.0,155.0,False
125,-90.0,156.25,False
126,-90.0,157.5,False
127,-90.0,158.75,False
128,-90.0,160.0,False
129,-90.0,161.25,False
130,-90.0,162.5,False
131,-90.0,163.75,False
132,-90.0,165.0,False
133,-90.0,166.25,False
134,-90.0,167.5,False
135,-90.0,168.75,False
136,-90.0,170.0,False
137,-90.0,171.25,False
138,-90.0,172.5,False
139,-90.0,173.75,False
140,-90.0,175.0,False
141,-90.0,176.25,False
142,-90.0,177.5,False
143,-90.0,178.75,False
144,-90.0,180.0,False
145,-90.0,181.25,False
146,-90.0,182.5,False
147,-90.0,183.75,False
148,-90.0,185.0,False
149,-90.0,186.25,False
150,-90.0,187.5,False
151,-90.0,188.75,False
152,-90.0,190.0,False
153,-90.0,191.25,False
154,-90.0,192.5,False
155,-90.0,193.75,False
156,-90.0,195.0,False
157,-90.0,196.25,False
158,-90.0,197.5,False
159,-90.0,198.75,False
160,-90.0,200.0,False
161,-90.0,201.25,False
162,-90.0,202.5,False
163,-90.0,203.75,False
164,-90.0,205.0,False
165,-90.0,206.25,False
166,-90.0,207.5,False
167,-90.0,208.75,False
168,-90.0,210.0,False
169,-90.0,211.25,False
170,-90.0,212.5,False
171,-90.0,213.75,False
172,-90.0,215.0,False
173,-90.0,216.25,False
